CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2011-4688,8.0,8.0.1,[]
CVE-2011-3866,3.6,6.0,"[[None, None, None, []]]"
CVE-2011-3666,0.1,3.6.24,"[[datetime.datetime(2011, 11, 22, 13, 57), datetime.datetime(2011, 12, 5, 14, 0), u'File Handling', [u'(firefox8+ fixed', u' firefox9+ fixed', u' firefox10+ fixed']]]"
CVE-2011-3665,4.0,8.0,"[[datetime.datetime(2011, 11, 9, 18, 9), datetime.datetime(2011, 11, 13, 17, 6), u'Audio/Video', [u'(firefox8 affected', u' firefox9 fixed', u' firefox10 fixed', u' firefox11 fixed']]]"
CVE-2011-3664,0.1,8.0,"[[datetime.datetime(2011, 4, 11, 11, 59), datetime.datetime(2011, 10, 28, 7, 59), u'Plug-ins', [u'(firefox5 affected', u' firefox6- affected', u' firefox7 affected', u' firefox8- affected', u' firefox9 fixed', u' firefox10 fixed']]]"
CVE-2011-3663,4.0,7.0.1,"[[datetime.datetime(2011, 11, 22, 7, 29), datetime.datetime(2011, 12, 8, 16, 17), u'SVG', [u'(firefox8 wontfix', u' firefox9+ fixed', u' firefox10+ fixed', u' firefox11+ verified']]]"
CVE-2011-3661,4.0,8.0,"[[datetime.datetime(2011, 10, 3, 5, 30), datetime.datetime(2011, 10, 21, 14, 3), u'JavaScript Engine', [u'(firefox8- wontfix', u' firefox9+ fixed', u' firefox10+ fixed', u' firefox11+ fixed']]]"
CVE-2011-3660,4.0,8.0,"[[datetime.datetime(2011, 11, 11, 0, 11), datetime.datetime(2011, 11, 23, 1, 43), u'Layout: Text', [u'(firefox8- wontfix', u' firefox9+ fixed', u' firefox10+ fixed', u' firefox11+ fixed']], [datetime.datetime(2011, 11, 29, 13, 36), datetime.datetime(2011, 11, 29, 19, 44), u'Networking', [u'(firefox8- wontfix', u' firefox9- verified', u' firefox10+ verified', u' firefox11+ verified']], [datetime.datetime(2011, 11, 7, 16, 51), datetime.datetime(2011, 11, 8, 8, 22), u'DOM', [u'(firefox8- wontfix', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 11, 9, 17, 10), datetime.datetime(2013, 1, 19, 13, 58), u'JavaScript Engine', [u'(firefox8- wontfix', u' firefox9+ fixed', u' firefox10+ fixed', u' firefox11+ verified']], [datetime.datetime(2011, 10, 25, 14, 13), datetime.datetime(2011, 10, 26, 19, 5), u'JavaScript Engine', [u'(firefox7- unaffected', u' firefox8- unaffected', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 10, 22, 6, 54), datetime.datetime(2011, 10, 25, 4, 24), u'SVG', [u'(firefox8- affected', u' firefox9- fixed']], [datetime.datetime(2011, 10, 12, 16, 58), datetime.datetime(2011, 10, 13, 8, 16), u'JavaScript Engine', [u'(firefox8 unaffected', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 10, 9, 4, 29), datetime.datetime(2011, 10, 11, 10, 52), u'JavaScript Engine', [u'(firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 10, 9, 4, 13), datetime.datetime(2011, 12, 6, 17, 54), u'Graphics', [u'(firefox8- wontfix', u' firefox9+ verified', u' firefox10+ verified', u' firefox11+ verified']], [datetime.datetime(2011, 9, 21, 21, 18), datetime.datetime(2012, 2, 23, 17, 58), u'DOM', [u'(firefox6 wontfix', u' firefox7- wontfix', u' firefox8- wontfix', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 9, 24, 5, 58), datetime.datetime(2011, 10, 17, 15, 54), u'JavaScript Engine', [u'(firefox6+ unaffected', u' firefox7+ unaffected', u' firefox8+ unaffected', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 9, 7, 9, 16), datetime.datetime(2011, 10, 5, 9, 36), u'JavaScript Engine', [u'(firefox7- unaffected', u' firefox8- unaffected', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 8, 20, 11, 35), datetime.datetime(2011, 8, 20, 14, 59), u'SVG', [u'(firefox7- unaffected', u' firefox8- unaffected', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 10, 4, 12, 8), datetime.datetime(2011, 10, 5, 16, 51), u'JavaScript Engine', [u'(firefox7- unaffected', u' firefox8- unaffected', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 10, 4, 7, 17), datetime.datetime(2011, 10, 21, 14, 14), u'JavaScript Engine', [u'(firefox7-', u' firefox8- wontfix', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 9, 29, 8, 47), datetime.datetime(2011, 10, 5, 16, 37), u'JavaScript Engine', [u'(firefox8 unaffected', u' firefox9+ fixed', u' firefox10+ fixed', u' firefox11 fixed']], [datetime.datetime(2011, 9, 28, 3, 26), datetime.datetime(2011, 9, 30, 7, 54), u'JavaScript Engine', [u'(firefox6- unaffected', u' firefox7- unaffected', u' firefox8- unaffected', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 9, 10, 3, 10), datetime.datetime(2011, 10, 5, 7, 38), u'JavaScript Engine', [u'(firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 9, 7, 14, 54), datetime.datetime(2011, 11, 17, 19, 9), u'JavaScript Engine', [u'(firefox7- wontfix', u' firefox8- wontfix', u' firefox9+ verified', u' firefox10+ verified', u' firefox11+ verified']], [datetime.datetime(2011, 8, 26, 4, 12), datetime.datetime(2013, 1, 19, 13, 49), u'JavaScript Engine', [u'(firefox6- unaffected', u' firefox7- wontfix', u' firefox8- affected', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 8, 17, 21, 41), datetime.datetime(2011, 10, 31, 16, 9), u'JavaScript Engine', [u'(firefox5- unaffected', u' firefox6- unaffected', u' firefox7- wontfix', u' firefox8+ affected', u' firefox9+ fixed', u' firefox10 fixed']], [datetime.datetime(2011, 8, 16, 13, 57), datetime.datetime(2011, 8, 22, 10, 53), u'XPConnect', []], [datetime.datetime(2010, 4, 28, 13, 9), datetime.datetime(2011, 11, 1, 11, 35), u'Plug-ins', [u'(firefox7 affected', u' firefox8 affected', u' firefox9 fixed', u' firefox10 fixed']]]"
CVE-2011-3658,8.0,8.0,"[[datetime.datetime(2011, 12, 6, 22, 31), datetime.datetime(2012, 2, 27, 21, 5), u'SVG', [u'(firefox8 wontfix', u' firefox9 verified', u' firefox10 verified', u' firefox11 verified']]]"
CVE-2011-3655,4.0,7.0,"[[None, None, None, []]]"
CVE-2011-3654,0.1,7.0.1,"[[datetime.datetime(2011, 10, 17, 5, 15), datetime.datetime(2011, 10, 17, 11, 55), u'SVG', [u'(firefox7+ wontfix', u' firefox8+ fixed', u' firefox9+ fixed', u' firefox10+ fixed']]]"
CVE-2011-3653,0.1,7.0.1,"[[datetime.datetime(2011, 9, 6, 9, 42), datetime.datetime(2011, 9, 28, 21, 45), u'Canvas: WebGL', [u'(firefox7+ wontfix', u' firefox8+ verified', u' firefox9+ verified']]]"
CVE-2011-3652,0.1,7.0.1,"[[datetime.datetime(2011, 8, 28, 11, 9), datetime.datetime(2011, 9, 28, 3, 1), u'Networking: Cache', [u'(firefox6- wontfix', u' firefox7- wontfix', u' firefox8+ fixed', u' firefox9+ fixed', u' firefox10+ fixed']]]"
CVE-2011-3651,7.0,7.0,"[[datetime.datetime(2011, 9, 9, 16, 14), datetime.datetime(2011, 9, 15, 11, 45), u'SVG', [u'(firefox7- affected', u' firefox8+ fixed', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 8, 16, 20, 43), datetime.datetime(2011, 8, 22, 12, 34), u'JavaScript Engine', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7- wontfix', u' firefox8+ fixed', u' firefox9+ fixed']], [datetime.datetime(2011, 8, 9, 22, 27), datetime.datetime(2011, 8, 10, 3, 8), u'General', [u'(firefox7 unaffected', u' firefox8+ fixed', u' firefox9+ fixed']], [datetime.datetime(2011, 8, 5, 13, 1), datetime.datetime(2012, 1, 19, 11, 26), u'Canvas: WebGL', [u'(firefox7- wontfix', u' firefox8+ fixed', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 7, 31, 12, 37), datetime.datetime(2011, 8, 3, 3, 6), u'Disability Access APIs', [u'(firefox8+ fixed', u' firefox9+ fixed']], [datetime.datetime(2011, 7, 20, 12, 2), datetime.datetime(2011, 8, 10, 15, 34), u'JavaScript Engine', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7- unaffected', u' firefox8+ fixed', u' firefox9+ fixed']], [datetime.datetime(2011, 7, 12, 18, 48), datetime.datetime(2011, 7, 13, 10, 21), u'Password Manager', [u'(firefox5 unaffected', u' firefox6 unaffected', u' firefox7 unaffected', u' firefox8+ fixed', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 3, 31, 13, 18), datetime.datetime(2011, 7, 1, 7, 15), u'JavaScript Engine', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7- wontfix', u' firefox8+ fixed', u' firefox9+ fixed', u' firefox10+ fixed']], [datetime.datetime(2011, 4, 21, 23, 34), datetime.datetime(2011, 8, 29, 16, 50), u'JavaScript Engine', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ wontfix', u' firefox8+ verified', u' firefox9+ verified', u' firefox10+ verified']], [datetime.datetime(2011, 6, 17, 11, 50), datetime.datetime(2011, 6, 30, 14, 30), u'Canvas: WebGL', [u'(firefox5- affected', u' firefox6- affected', u' firefox7- affected', u' firefox8+ fixed', u' firefox9+ fixed', u' firefox10+ fixed']]]"
CVE-2011-3650,0.1,7.0,"[[datetime.datetime(2011, 7, 27, 17, 4), datetime.datetime(2011, 9, 2, 12, 39), u'JavaScript Engine', [u'(firefox6- wontfix', u' firefox7- wontfix', u' firefox8+ fixed', u' firefox9+ fixed', u' firefox10 fixed']]]"
CVE-2011-3649,7.0,7.0,"[[datetime.datetime(2011, 5, 9, 14, 27), datetime.datetime(2011, 10, 5, 8, 28), u'Canvas: 2D', [u'(firefox5 affected', u' firefox6+ fixed', u' firefox7 affected', u' firefox8+ fixed', u' firefox9+ fixed', u' firefox10+ verified']]]"
CVE-2011-3648,0.1,7.0,"[[datetime.datetime(2011, 9, 28, 20, 56), datetime.datetime(2011, 10, 18, 23, 3), u'Internationalization', [u'(firefox8 fixed', u' firefox9 fixed']]]"
CVE-2011-3647,0.1,3.6.23,"[[datetime.datetime(2011, 8, 22, 6, 19), datetime.datetime(2012, 1, 19, 10, 28), u'Security', [u'(firefox6- wontfix', u' firefox7- fixed', u' firefox8+ fixed', u' firefox9+ fixed']]]"
CVE-2011-3389,,,[]
CVE-2011-3232,3.6,6.0,"[[datetime.datetime(2011, 4, 29, 1, 37), datetime.datetime(2011, 6, 21, 9, 51), u'JavaScript Engine', [u'(firefox5- wontfix', u' firefox6- affected', u' firefox7+ fixed', u' firefox8+ fixed']]]"
CVE-2011-3005,4.0,6.0,"[[datetime.datetime(2011, 8, 1, 14, 41), datetime.datetime(2011, 8, 13, 11, 40), u'Audio/Video', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed', u' firefox8+ fixed']]]"
CVE-2011-3004,4.0,6.0,"[[datetime.datetime(2011, 4, 30, 8, 47), datetime.datetime(2011, 10, 28, 13, 49), u'XPConnect', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed', u' firefox8+ fixed']]]"
CVE-2011-3003,3.6,6.0,"[[datetime.datetime(2011, 8, 26, 10, 49), datetime.datetime(2011, 9, 29, 0, 54), u'Canvas: WebGL', [u'(firefox7+ fixed', u' firefox8+ fixed', u' firefox9+ fixed']]]"
CVE-2011-3002,3.6,6.0,"[[datetime.datetime(2011, 8, 22, 0, 1), datetime.datetime(2011, 9, 10, 1, 32), u'Canvas: WebGL', [u'(firefox6 affected', u' firefox7+ fixed', u' firefox8+ fixed', u' firefox9+ fixed']]]"
CVE-2011-3001,4.0,6.0,"[[datetime.datetime(2011, 7, 19, 6, 34), datetime.datetime(2011, 9, 30, 17, 10), u'Security', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed', u' firefox8+ fixed', u' firefox9+ fixed']]]"
CVE-2011-3000,3.6,6.0,"[[datetime.datetime(2011, 5, 6, 15, 19), datetime.datetime(2011, 9, 19, 14, 0), u'Networking', [u'(firefox5 wontfix', u' firefox6- wontfix', u' firefox7+ fixed']]]"
CVE-2011-2999,3.6,5.0,"[[datetime.datetime(2011, 6, 20, 8, 12), datetime.datetime(2011, 8, 8, 17, 3), u'DOM', [u'(firefox5 affected', u' firefox6 fixed', u' firefox7 fixed']]]"
CVE-2011-2998,3.6,3.6.22,"[[datetime.datetime(2011, 9, 6, 3, 35), datetime.datetime(2011, 9, 6, 3, 38), u'JavaScript Engine', [u'(firefox6 unaffected', u' firefox7 unaffected', u' firefox8 unaffected', u' firefox9 unaffected', u' firefox10 unaffected']]]"
CVE-2011-2997,6.0,6.0,"[[datetime.datetime(2011, 8, 14, 6, 7), datetime.datetime(2011, 8, 14, 11, 37), u'DOM: Events', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed', u' firefox8+ fixed', u' firefox9+ fixed']], [datetime.datetime(2011, 7, 18, 20, 50), datetime.datetime(2011, 8, 31, 5, 25), u'JavaScript Engine', [u'(firefox7 fixed', u' firefox8 fixed']], [datetime.datetime(2011, 7, 24, 0, 42), datetime.datetime(2011, 7, 24, 10, 6), u'Disability Access APIs', [u'(firefox5 unaffected', u' firefox6 affected', u' firefox7 fixed', u' firefox8 fixed']], [datetime.datetime(2011, 7, 14, 20, 48), datetime.datetime(2011, 9, 22, 16, 9), u'Graphics', [u'(firefox5- unaffected', u' firefox6 unaffected', u' firefox7+ fixed', u' firefox8+ fixed']], [datetime.datetime(2011, 7, 9, 0, 2), datetime.datetime(2011, 8, 29, 19, 7), u'XPConnect', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed', u' firefox8+ fixed', u' firefox9+ fixed']], [datetime.datetime(2011, 7, 4, 15, 56), datetime.datetime(2011, 7, 26, 17, 46), u'XPConnect', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed', u' firefox8+ fixed']], [datetime.datetime(2011, 7, 1, 19, 30), datetime.datetime(2011, 7, 8, 0, 54), u'Layout: Text', [u'(firefox5 unaffected', u' firefox7+ fixed', u' firefox8 fixed']], [datetime.datetime(2011, 6, 27, 10, 15), datetime.datetime(2011, 7, 4, 8, 47), u'JavaScript Engine', [u'(firefox5- unaffected', u' firefox6- unaffected', u' firefox7+ fixed']], [datetime.datetime(2011, 6, 24, 12, 10), datetime.datetime(2011, 6, 27, 10, 11), u'XPConnect', [u'(firefox5 unaffected', u' firefox6 unaffected', u' firefox7 fixed']], [datetime.datetime(2011, 5, 14, 23, 18), datetime.datetime(2011, 6, 23, 10, 48), u'JavaScript Engine', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed']], [datetime.datetime(2011, 5, 22, 4, 42), datetime.datetime(2011, 5, 22, 8, 48), u'JavaScript Engine', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed']], [datetime.datetime(2011, 6, 2, 10, 17), datetime.datetime(2011, 6, 6, 11, 57), u'JavaScript Engine', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed']], [datetime.datetime(2011, 6, 16, 23, 27), datetime.datetime(2011, 8, 12, 12, 21), u'Graphics', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed', u' firefox8+ fixed', u' firefox9+ fixed']], [datetime.datetime(2010, 3, 12, 10, 57), datetime.datetime(2010, 3, 14, 9, 56), u'Plug-ins', [u'(firefox5- wontfix', u' firefox6- wontfix', u' firefox7+ fixed', u' firefox8+ fixed']]]"
CVE-2011-2996,3.6,3.6.22,"[[datetime.datetime(2010, 3, 25, 12, 24), datetime.datetime(2010, 3, 25, 13, 2), u'Widget: Cocoa', []]]"
